,y
62246,0
155,1
106051,0
74924,1
41465,0
9225,0
1243,0
36998,0
49820,0
67753,0
81548,0
65962,0
83198,0
20298,0
21834,0
92733,0
26068,0
22447,1
20140,0
79600,0
44282,0
95742,0
63847,0
32958,0
77504,1
65243,0
9633,0
46401,0
53817,0
101840,0
38642,0
54753,0
45210,0
484,0
89888,0
33428,0
16972,1
95645,0
75123,0
48453,0
53221,0
21787,1
92341,1
109810,0
99622,0
95425,0
100717,0
22020,0
79108,0
21719,0
69487,0
32137,0
89869,0
90271,0
87479,0
39589,1
29757,0
26181,0
47990,0
22912,0
17922,0
124828,0
56947,1
6021,0
121187,0
11651,0
36367,1
52338,0
97756,0
7540,0
6261,0
77481,0
120705,0
61703,0
94083,0
97266,0
104853,0
14422,0
24332,0
62068,0
26332,0
19654,1
25921,0
85259,0
4354,0
105594,0
62365,0
86238,1
101796,0
31062,1
93370,0
113553,0
76496,1
18537,0
46550,0
32994,0
52688,0
87963,0
89991,0
68826,0
7731,0
15106,0
86920,0
33058,0
35309,0
110032,0
70222,0
104164,0
20000,1
78711,1
56400,0
88928,0
22409,0
34405,0
105459,0
93130,1
99900,1
21891,0
78790,0
80912,0
59970,0
30483,0
42054,0
50186,0
8735,0
4934,0
38032,1
46784,1
37135,0
97203,0
105940,1
20610,0
70479,0
59359,0
62814,0
91626,0
28881,0
95378,0
99511,0
71910,0
93419,0
99659,0
28507,0
29742,0
27410,0
45940,1
28532,0
16546,0
14561,0
57983,1
108807,0
101760,1
51125,0
83128,0
28967,0
74382,0
1518,0
13772,0
62084,0
90800,0
110792,1
106937,0
78462,0
80665,0
73836,0
77159,0
61674,0
17924,0
104207,0
33,0
58036,0
56352,0
73068,1
45444,0
40767,1
15461,0
39640,0
22451,1
73970,0
69530,0
64415,0
6709,0
40556,0
113861,0
6185,0
103489,0
19993,0
6130,1
97234,0
2238,0
16779,1
72359,0
116452,0
88271,0
35974,0
74519,0
79509,0
45553,0
15170,0
27234,0
38196,0
5360,0
87685,0
53958,1
4077,0
40454,0
16514,0
10764,0
43244,0
10834,0
29544,0
58376,0
80688,1
104245,1
54384,1
10811,0
18897,0
3154,0
84472,0
69976,0
26376,0
52666,0
24392,0
104098,0
7919,0
112019,0
34890,0
101268,0
85114,0
97319,0
55092,0
1048,1
83290,0
102820,0
21584,0
32361,0
57556,0
81658,0
34121,0
58977,0
88848,0
16332,1
10406,0
88922,0
2072,0
94322,0
70089,0
76187,0
12141,0
111442,0
26483,0
98773,0
57367,0
113886,0
1915,0
36091,0
64557,1
46524,0
105676,0
1683,0
53549,1
70231,0
7355,0
4729,0
25247,0
92748,0
43406,0
4938,0
25685,0
54623,0
47505,0
65201,0
90323,0
82225,1
14081,0
45108,1
38708,0
73976,1
101134,0
36628,0
42677,1
61256,1
88489,0
3992,0
94930,0
13496,0
83397,1
103861,0
28742,1
89611,0
44221,0
919,0
16816,0
96701,0
9255,1
39818,0
111765,0
19812,0
51209,0
94317,0
33282,0
51315,0
49445,0
67859,0
14697,0
87987,0
50915,0
32996,1
9519,0
72074,0
91392,0
86959,0
13073,0
35727,0
17791,0
101895,0
7733,0
8131,1
69618,0
29227,0
3469,1
67250,0
53187,0
95616,0
28239,0
26058,1
71988,0
25907,0
28437,0
46209,0
92687,0
97753,0
59665,0
18626,0
34687,0
7094,0
10713,0
59533,0
60262,0
104136,0
7993,0
11630,0
64130,0
114061,0
8551,0
37119,1
95154,0
18195,0
36692,0
56215,0
19632,0
33591,0
62311,0
20793,0
103432,0
29346,0
8818,0
52597,0
58291,0
15163,0
17013,0
7273,0
51505,0
76226,0
6719,0
1268,1
74319,0
65874,0
109193,0
30106,0
42084,0
94005,0
110807,0
16701,0
61772,1
68785,0
38944,0
107446,0
93022,1
22015,0
23657,0
32824,0
110773,1
12500,0
102268,0
22079,0
51348,0
117411,0
50177,0
11611,0
45644,1
49102,0
91682,0
20794,0
53896,0
78279,0
22460,0
71844,0
87622,1
91407,0
38801,0
318,0
92457,0
57423,0
61945,1
47537,0
39828,1
113405,0
35488,0
367,1
65352,0
36992,1
32861,0
23790,1
62869,0
115036,0
108952,0
20425,0
86813,0
88195,0
106463,0
96470,0
90834,0
62158,0
13453,0
56307,0
85680,0
54900,0
80885,0
105729,1
48961,0
4031,0
5126,0
113981,0
77228,0
68901,0
9011,0
25647,0
71852,1
21520,1
49192,0
25634,0
61415,0
11344,0
52259,0
46684,0
74178,0
25341,0
117375,0
114703,0
64516,1
32747,0
102562,0
54007,0
23199,0
7556,0
51609,0
38267,0
34124,0
55332,1
15496,0
11930,0
59061,1
15982,0
18099,0
100546,0
56702,1
67767,0
110133,0
20645,1
89729,0
28134,0
31682,0
33876,0
17760,1
75044,0
24579,0
8068,1
40897,0
81808,0
3256,0
97599,0
115000,0
89474,0
85055,0
491,1
64534,0
17292,1
11912,1
9477,0
113966,0
5127,0
104217,0
28807,0
86785,1
91044,0
44443,0
3681,0
66946,0
14991,0
36667,0
23370,0
74131,0
60787,0
62622,1
42625,0
106742,0
61547,0
14356,0
63050,1
98294,0
